Species,OCW1,OCW2,OCW3,OCW4,Bird,
americanCoot,,,,,yes,
beaver,muskrat,woodchuck,mink,,,
bike,,,,,yes,
birdCannotID,,,,,yes,
canadaGoose,,,,,yes,
car,,,,,,
cardinal,,,,,yes,
chickadee,white-breasted nuthatch,,,,yes,
chipmunk,fraySquirrel,foxSquirrel,,,,
coyote,domDog,grayFox,redFox,,,
crow,grackle,,,,yes,
deer,horse,,,,,
domCat,raccoon,,,,,
domDog,coyote,grayFox,redFox,,,
empty,,,,,yes,
flyingSquirrel,mouse,graySquirrel,foxSquirrel,rat,,
foxSquirrel,graySquirrel,,,,,
grackle,crow,starling,red-winged blackbird,brown-headed cowbird,yes,
grayFox,domDog,coyote,redFox,,,
graySquirrel,foxSquirrel,,,,,
greatBlueHeron,,,,,yes,
horse,deer,,,,,
houseSparrow,,,,,yes,
human,,,,,,
livestock,,,,,,
mallard,wood duck,black duck,,,yes,
mink,muskrat,beaver,woodChuck,,,
mourningDove,pigeon,,,,yes,
mouse,rat,,,,,
mower,,,,,,
muskrat,mink,beaver,woodChuck,,,
northernFlicker,red-bellied woodpecker,,,,yes,
opossum,rat,raccoon,,,,
otherVehicle,,,,,,
pigeon,mourning dove,,,,yes,
rabbit,opossum,,,,,
raccoon,opossum,domCat,,,,
rat,mouse,opossum,,,,
redFox,grayFox,domCat,coyote,,,
robin,,,,,,
skunk,raccoon,,,,,
squirrelCannotID,,,,,,
starling,grackle,red-winged blackbird,brown-headed cowbird,,yes,
unknown,,,,,,
woodDuck,mallard,,,,yes,
woodChuck,mink,beaver,muskrat,,,
melanisticGraySquirrel,mink,,,,,
